,precip,year,10_year_rolling_avg
10,1050.1255458111154,2024,1554.0062
11,2187.084582373842,2025,1665.2443
12,2190.0074733032743,2026,1753.6344
13,2323.509670425534,2027,1849.9885
14,1439.0704387786864,2028,1858.8624
15,1282.199385868691,2029,1722.7888
16,1544.685179976048,2030,1617.9529
17,698.8760563675951,2031,1517.2164
18,885.113440154817,2032,1514.0122
19,2885.6694502509563,2033,1648.6341
20,1751.5946314163702,2034,1718.781
21,1863.6490609569448,2035,1686.4375
22,2229.6932525247685,2036,1690.4061
23,1075.7317780402009,2037,1565.6283
24,1772.9402240996496,2038,1599.0152
25,1406.3262551217886,2039,1611.4279
26,887.3341539858739,2040,1545.6928
27,2171.5961063448776,2041,1692.9648
28,1371.3012971234093,2042,1741.5836
29,2131.741404325796,2043,1666.1908
30,1643.2904625092417,2044,1655.3604
31,1907.463477870937,2045,1659.7418
32,2309.464503325587,2046,1667.719
33,2534.050019499533,2047,1813.5508
34,595.3666715469681,2048,1695.7934
35,2184.155140428171,2049,1773.5763
36,501.4993691891905,2050,1734.9928
37,789.771054785926,2051,1596.8103
38,1698.1183344297242,2052,1629.492
39,893.8443714715213,2053,1505.7023
40,3027.3794126840585,2054,1644.1112
41,1992.673590014194,2055,1652.6322
42,1383.6973207129922,2056,1560.0555
43,1173.0250500489892,2057,1423.953
44,1354.0933768560462,2058,1499.8257
45,2057.7144641155173,2059,1487.1816
46,1022.8504087508844,2060,1539.3167
47,1642.7759113118482,2061,1624.6172
48,2425.425956065359,2062,1697.348
49,984.5279691705692,2063,1706.4163
50,1705.8006160992736,2064,1574.2585
51,1390.313728961708,2065,1514.0225
52,1901.3286904416236,2066,1565.7856
53,845.1082689465056,2067,1532.9939
54,3129.5450875236056,2068,1710.5391
55,2008.2845359795683,2069,1705.5961
56,1077.064727045683,2070,1711.0175
57,723.5833532272973,2071,1619.0983
58,2861.836438914026,2072,1662.7393
59,1659.369652021931,2073,1730.2235
60,1258.7723037249198,2074,1685.5207
61,1937.4613076736712,2075,1740.2354
62,1673.129120806963,2076,1717.4155
63,3797.006794352841,2077,2012.6053
64,949.6734381655624,2078,1794.6182
65,4286.061680614948,2079,2022.3959
66,2480.1027313564773,2080,2162.6997
