,year,num_days_above_80
0,1980,351
1,1981,357
2,1982,356
3,1983,353
4,1984,354
5,1985,357
6,1986,359
7,1987,358
8,1988,357
9,1989,353
10,1990,361
11,1991,350
12,1992,357
13,1993,358
14,1994,355
15,1995,359
16,1996,335
17,1997,354
18,1998,357
19,1999,362
20,2000,363
21,2001,358
22,2002,269
23,2003,354
24,2004,355
25,2005,361
26,2006,361
27,2007,365
28,2008,358
29,2009,362
30,2010,362
31,2011,365
32,2012,362
33,2013,364
34,2014,363
35,2015,365
36,2016,365
37,2017,364
38,2018,365
39,2019,364
40,2020,359
41,2021,362
42,2022,357
43,2023,359
