,year,num_days_above_100
0,2024,1.0
1,2025,0.0
2,2026,0.0
3,2027,4.0
4,2028,9.0
5,2029,6.0
6,2030,2.0
7,2031,4.0
8,2032,4.0
9,2033,5.0
10,2034,3.0
11,2035,1.0
12,2036,6.0
13,2037,4.0
14,2038,1.0
15,2039,1.0
16,2040,3.0
17,2041,16.0
18,2042,8.0
19,2043,6.0
20,2044,11.0
21,2045,8.0
22,2046,5.0
23,2047,7.0
24,2048,9.0
25,2049,9.0
26,2050,7.0
27,2051,13.0
28,2052,13.0
29,2053,5.0
30,2054,13.0
31,2055,9.0
32,2056,6.0
33,2057,4.0
34,2058,18.0
35,2059,29.0
36,2060,14.0
37,2061,10.0
38,2062,13.0
39,2063,16.0
40,2064,14.0
41,2065,18.0
42,2066,14.0
43,2067,25.0
44,2068,19.0
45,2069,22.0
46,2070,32.0
47,2071,39.0
48,2072,34.0
49,2073,37.0
50,2074,30.0
51,2075,49.0
52,2076,36.0
53,2077,27.0
54,2078,19.0
55,2079,62.0
56,2080,29.0
