datetime,latitude,longitude,data
2024-04-02T00:11:59.999999+00:00,6.194400000000003,106.8229,29.35283740329772
2024-04-09T00:11:59.999999+00:00,6.194400000000003,106.8229,29.644178620660554
2024-04-16T00:11:59.999999+00:00,6.194400000000003,106.8229,30.292174887544025
2024-04-23T00:11:59.999999+00:00,6.194400000000003,106.8229,30.83633094670779
2024-04-30T00:11:59.999999+00:00,6.194400000000003,106.8229,31.162456717097044
2024-05-07T00:11:59.999999+00:00,6.194400000000003,106.8229,31.837485422056726
2024-05-14T00:11:59.999999+00:00,6.194400000000003,106.8229,31.354242241688304
2024-05-21T00:11:59.999999+00:00,6.194400000000003,106.8229,31.446773648691927
2024-05-28T00:11:59.999999+00:00,6.194400000000003,106.8229,31.8361888
2024-06-04T00:11:59.999999+00:00,6.194400000000003,106.8229,30.988252234968176
2024-06-11T00:11:59.999999+00:00,6.194400000000003,106.8229,31.84015959
2024-06-18T00:11:59.999999+00:00,6.194400000000003,106.8229,31.275003065576094
2024-06-25T00:11:59.999999+00:00,6.194400000000003,106.8229,31.307127452967784
2024-07-02T00:11:59.999999+00:00,6.194400000000003,106.8229,31.40948320628425
2024-07-09T00:11:59.999999+00:00,6.194400000000003,106.8229,30.56791669
2024-07-16T00:11:59.999999+00:00,6.194400000000003,106.8229,30.890289770440095
2024-07-23T00:11:59.999999+00:00,6.194400000000003,106.8229,30.79854100334526
2024-07-30T00:11:59.999999+00:00,6.194400000000003,106.8229,30.960030717157913
2024-08-06T00:11:59.999999+00:00,6.194400000000003,106.8229,30.538935114794608
2024-08-13T00:11:59.999999+00:00,6.194400000000003,106.8229,30.535096758050898
2024-08-20T00:11:59.999999+00:00,6.194400000000003,106.8229,30.490019282202546
2024-08-27T00:11:59.999999+00:00,6.194400000000003,106.8229,30.41628092
2024-09-03T00:11:59.999999+00:00,6.194400000000003,106.8229,30.179021918216446
2024-09-10T00:11:59.999999+00:00,6.194400000000003,106.8229,30.20569570756336
2024-09-17T00:11:59.999999+00:00,6.194400000000003,106.8229,30.480607602770725
2024-09-24T00:11:59.999999+00:00,6.194400000000003,106.8229,30.186098754370946
2024-10-01T00:11:59.999999+00:00,6.194400000000003,106.8229,30.23854778165889
2024-10-08T00:11:59.999999+00:00,6.194400000000003,106.8229,29.69514945331459
2024-10-15T00:11:59.999999+00:00,6.194400000000003,106.8229,29.673311969111328
2024-10-22T00:11:59.999999+00:00,6.194400000000003,106.8229,29.545156113702177
2024-10-29T00:11:59.999999+00:00,6.194400000000003,106.8229,30.44422209841892
2024-11-05T00:11:59.999999+00:00,6.194400000000003,106.8229,30.136176284074566
2024-11-12T00:11:59.999999+00:00,6.194400000000003,106.8229,30.36895036214254
2024-11-19T00:11:59.999999+00:00,6.194400000000003,106.8229,29.50226206378531
2024-11-26T00:11:59.999999+00:00,6.194400000000003,106.8229,29.090917137658284
2024-12-03T00:11:59.999999+00:00,6.194400000000003,106.8229,28.40540328742197
2024-12-10T00:11:59.999999+00:00,6.194400000000003,106.8229,28.500437774504164
2024-12-17T00:11:59.999999+00:00,6.194400000000003,106.8229,27.61967920307903
2024-12-24T00:11:59.999999+00:00,6.194400000000003,106.8229,27.70118202974463
2024-12-31T00:11:59.999999+00:00,6.194400000000003,106.8229,27.86550778
2025-01-07T00:11:59.999999+00:00,6.194400000000003,106.8229,28.09013872070979
2025-01-14T00:11:59.999999+00:00,6.194400000000003,106.8229,28.181154942123342
2025-01-21T00:11:59.999999+00:00,6.194400000000003,106.8229,27.96675923
2025-01-28T00:11:59.999999+00:00,6.194400000000003,106.8229,27.81707262273025
2025-02-04T00:11:59.999999+00:00,6.194400000000003,106.8229,27.85838892731038
2025-02-11T00:11:59.999999+00:00,6.194400000000003,106.8229,28.540193771574778
2025-02-18T00:11:59.999999+00:00,6.194400000000003,106.8229,28.96958108631769
2025-02-25T00:11:59.999999+00:00,6.194400000000003,106.8229,29.158765395393452
2025-03-04T00:11:59.999999+00:00,6.194400000000003,106.8229,29.317864165315335
2025-03-11T00:11:59.999999+00:00,6.194400000000003,106.8229,29.041591602864806
2025-03-18T00:11:59.999999+00:00,6.194400000000003,106.8229,30.287264435741005
2025-03-25T00:11:59.999999+00:00,6.194400000000003,106.8229,29.81880891238333
2025-04-01T00:11:59.999999+00:00,6.194400000000003,106.8229,30.716365275976372
2025-04-08T00:11:59.999999+00:00,6.194400000000003,106.8229,30.14167610142354
2025-04-15T00:11:59.999999+00:00,6.194400000000003,106.8229,30.36677095723548
2025-04-22T00:11:59.999999+00:00,6.194400000000003,106.8229,30.42643843615461
2025-04-29T00:11:59.999999+00:00,6.194400000000003,106.8229,30.720105805581348
2025-05-06T00:11:59.999999+00:00,6.194400000000003,106.8229,30.20130997360561
2025-05-13T00:11:59.999999+00:00,6.194400000000003,106.8229,31.177449224487873
2025-05-20T00:11:59.999999+00:00,6.194400000000003,106.8229,30.727080056308914
2025-05-27T00:11:59.999999+00:00,6.194400000000003,106.8229,31.03429678
2025-06-03T00:11:59.999999+00:00,6.194400000000003,106.8229,30.667090854673035
2025-06-10T00:11:59.999999+00:00,6.194400000000003,106.8229,30.717430556825263
2025-06-17T00:11:59.999999+00:00,6.194400000000003,106.8229,30.680052887496604
2025-06-24T00:11:59.999999+00:00,6.194400000000003,106.8229,30.053569512193256
2025-07-01T00:11:59.999999+00:00,6.194400000000003,106.8229,30.37803478470272
2025-07-08T00:11:59.999999+00:00,6.194400000000003,106.8229,30.35705465861662
2025-07-15T00:11:59.999999+00:00,6.194400000000003,106.8229,30.464911905607334
