,year,num_days_above_90
0,2024,0.0
1,2025,2.0
2,2026,2.0
3,2027,0.0
4,2028,2.0
5,2029,2.0
6,2030,0.0
7,2031,0.0
8,2032,0.0
9,2033,2.0
10,2034,2.0
11,2035,1.0
12,2036,0.0
13,2037,1.0
14,2038,1.0
15,2039,2.0
16,2040,2.0
17,2041,1.0
18,2042,3.0
19,2043,5.0
20,2044,5.0
21,2045,2.0
22,2046,2.0
23,2047,5.0
24,2048,6.0
25,2049,0.0
26,2050,3.0
27,2051,5.0
28,2052,6.0
29,2053,12.0
30,2054,16.0
31,2055,4.0
32,2056,7.0
33,2057,7.0
34,2058,1.0
35,2059,3.0
36,2060,13.0
37,2061,14.0
38,2062,0.0
39,2063,3.0
40,2064,8.0
41,2065,8.0
42,2066,9.0
43,2067,14.0
44,2068,13.0
45,2069,21.0
46,2070,19.0
47,2071,16.0
48,2072,8.0
49,2073,11.0
50,2074,3.0
51,2075,7.0
52,2076,16.0
53,2077,22.0
54,2078,17.0
55,2079,23.0
56,2080,22.0
