,year,num_days_above_90,10_year_rolling_avg
0,1980,0.0,
1,1981,0.0,
2,1982,0.0,
3,1983,0.0,
4,1984,0.0,
5,1985,0.0,
6,1986,0.0,
7,1987,0.0,
8,1988,0.0,
9,1989,0.0,0.0
10,1990,2.0,0.2
11,1991,0.0,0.2
12,1992,0.0,0.2
13,1993,0.0,0.2
14,1994,0.0,0.2
15,1995,1.0,0.3
16,1996,0.0,0.3
17,1997,0.0,0.3
18,1998,0.0,0.3
19,1999,0.0,0.3
20,2000,0.0,0.1
21,2001,0.0,0.1
22,2002,0.0,0.1
23,2003,1.0,0.2
24,2004,0.0,0.2
25,2005,0.0,0.1
26,2006,1.0,0.2
27,2007,0.0,0.2
28,2008,0.0,0.2
29,2009,0.0,0.2
30,2010,0.0,0.2
31,2011,0.0,0.2
32,2012,0.0,0.2
33,2013,0.0,0.1
34,2014,0.0,0.1
35,2015,1.0,0.2
36,2016,0.0,0.1
37,2017,0.0,0.1
38,2018,0.0,0.1
39,2019,1.0,0.2
40,2020,3.0,0.5
41,2021,0.0,0.5
42,2022,4.0,0.9
43,2023,0.0,0.9
0,2024,0.0,0.9
1,2025,2.0,1.0
2,2026,2.0,1.2
3,2027,0.0,1.2
4,2028,2.0,1.4
5,2029,2.0,1.5
6,2030,0.0,1.2
7,2031,0.0,1.2
8,2032,0.0,0.8
9,2033,2.0,1.0
10,2034,2.0,1.2
11,2035,1.0,1.1
12,2036,0.0,0.9
13,2037,1.0,1.0
14,2038,1.0,0.9
15,2039,2.0,0.9
16,2040,2.0,1.1
17,2041,1.0,1.2
18,2042,3.0,1.5
19,2043,5.0,1.8
20,2044,5.0,2.1
21,2045,2.0,2.2
22,2046,2.0,2.4
23,2047,5.0,2.8
24,2048,6.0,3.3
25,2049,0.0,3.1
26,2050,3.0,3.2
27,2051,5.0,3.6
28,2052,6.0,3.9
29,2053,12.0,4.6
30,2054,16.0,5.7
31,2055,4.0,5.9
32,2056,7.0,6.4
33,2057,7.0,6.6
34,2058,1.0,6.1
35,2059,3.0,6.4
36,2060,13.0,7.4
37,2061,14.0,8.3
38,2062,0.0,7.7
39,2063,3.0,6.8
40,2064,8.0,6.0
41,2065,8.0,6.4
42,2066,9.0,6.6
43,2067,14.0,7.3
44,2068,13.0,8.5
45,2069,21.0,10.3
46,2070,19.0,10.9
47,2071,16.0,11.1
48,2072,8.0,11.9
49,2073,11.0,12.7
50,2074,3.0,12.2
51,2075,7.0,12.1
52,2076,16.0,12.8
53,2077,22.0,13.6
54,2078,17.0,14.0
55,2079,23.0,14.2
56,2080,22.0,14.5
