ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
BIH,Bosnia and Herzegovina,"[15.75, 42.65, 19.6, 45.23]",44.8125,40,47.40625,46.3125,51.09375,45.5,44.5,46.40625,41.6875,45.1875,46.3125,44.5,47,47,50,45.90625,52.59375,44.8125,46,48.8125,45.6875,47.6875,47.8125,46.1875,46.59375,46.59375,48.59375,47.59375,51.6875,56.3125,49.1875,48.6875,47.8125,52.6875,47.3125,48.1875,48.90625,49.90625,47.8125,47.5,47.40625,48.90625,49.09375,44.3125,53.8125,53,46.8125,50.3125,50.09375,50.5,50.09375,52,50.6875,51,57.09375,53.3125
BLR,Belarus,"[23.2, 51.32, 32.69, 56.17]",41.59375,40.1875,44.6875,42.59375,45,41.59375,40.1875,43,38.59375,44.40625,45.09375,43.40625,48.59375,44.90625,44.5,46.59375,43.90625,46.59375,47.6875,50.40625,44,53.5,43.09375,46.3125,46.59375,39.59375,45.3125,46.59375,43.6875,50.40625,46,46.40625,44.40625,45.5,47.40625,49,46.8125,48.90625,51.5,49.3125,51.09375,44.8125,48.09375,40.6875,44.90625,44.6875,43.3125,48.90625,43.8125,54.40625,48.5,50.8125,54.1875,50.1875,50.09375,54
BLZ,Belize,"[-89.23, 15.89, -88.11, 18.5]",41.90625,41.09375,43.8125,41.59375,40.09375,44.59375,41.90625,42.1875,40.09375,42.1875,40.1875,40,43.5,42.5,43,44.40625,42.8125,40.09375,40.6875,42.09375,41.90625,41.09375,45.40625,39.59375,40.1875,43.1875,40.3125,42.3125,40.90625,41.09375,46.09375,41.59375,42.09375,43.09375,45.40625,44.1875,43.8125,44.6875,44.59375,44.40625,42.8125,43,46.5,44.40625,46,42.6875,45,45.59375,43.90625,45.40625,44.5,44.59375,44.5,45.59375,46.40625,49.6875
BOL,Bolivia,"[-69.59, -22.87, -57.5, -9.76]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,"[-73.99, -33.77, -34.73, 5.24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei,"[114.2, 4.01, 115.45, 5.45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,"[88.81, 26.72, 92.1, 28.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,"[19.9, -26.83, 29.43, -17.66]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,"[14.46, 2.27, 27.37, 11.14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,"[-141.0, 41.68, -52.65, 73.23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
