ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
BLZ,Belize,"[-89.23, 15.89, -88.11, 18.5]",41.90625,41.09375,43.8125,41.59375,40.09375,44.59375,41.90625,42.1875,40.09375,42.1875,40.1875,40.0,43.5,42.5,43.0,44.40625,42.8125,40.09375,40.6875,42.09375,41.90625,41.09375,45.40625,39.59375,40.1875,43.1875,40.3125,42.3125,40.90625,41.09375,46.09375,41.59375,42.09375,43.09375,45.40625,44.1875,43.8125,44.6875,44.59375,44.40625,42.8125,43.0,46.5,44.40625,46.0,42.6875,45.0,45.59375,43.90625,45.40625,44.5,44.59375,44.5,45.59375,46.40625,49.6875
BOL,Bolivia,"[-69.59, -22.87, -57.5, -9.76]",48.59375,45.09375,49.0,51.59375,50.1875,47.6875,49.90625,47.8125,55.8125,58.3125,52.3125,52.09375,53.1875,50.90625,49.09375,54.5,53.40625,47.59375,54.5,50.3125,48.8125,53.3125,62.1875,47.6875,47.90625,53.0,58.0,57.59375,55.1875,59.8125,49.59375,56.40625,51.6875,55.6875,53.3125,52.8125,54.8125,51.3125,52.59375,52.40625,53.09375,55.09375,53.0,52.59375,57.90625,54.1875,57.8125,59.1875,57.1875,54.3125,54.5,51.09375,56.3125,58.0,55.0,58.1875
BRA,Brazil,"[-73.99, -33.77, -34.73, 5.24]",56.5,57.5,62.1875,62.40625,66.875,57.59375,62.0,56.0,61.6875,62.5,52.3125,61.5,60.0,59.59375,61.5,61.0,62.90625,59.59375,63.59375,61.59375,56.90625,55.8125,62.1875,60.8125,57.90625,61.90625,59.40625,62.0,60.3125,61.40625,66.8125,64.8125,59.6875,63.40625,62.5,58.40625,61.1875,63.90625,56.3125,63.59375,63.6875,63.59375,68.0,58.90625,63.6875,62.59375,61.59375,64.1875,61.0,61.8125,61.59375,61.1875,70.125,69.1875,64.875,73.3125
BRN,Brunei,"[114.2, 4.01, 115.45, 5.45]",45.1875,48.5,46.8125,47.0,45.3125,45.59375,42.40625,45.6875,47.8125,47.90625,47.09375,47.3125,47.5,44.3125,47.09375,47.90625,49.5,47.40625,50.40625,44.1875,47.6875,48.59375,46.3125,50.1875,44.59375,44.8125,46.1875,49.09375,48.1875,45.1875,47.09375,46.1875,45.5,45.1875,52.1875,44.5,47.1875,43.59375,42.90625,52.5,49.5,45.59375,47.59375,47.90625,49.8125,41.40625,51.0,45.5,48.59375,46.09375,52.3125,49.09375,44.3125,48.0,51.6875,47.3125
BTN,Bhutan,"[88.81, 26.72, 92.1, 28.3]",40.40625,39.40625,39.40625,42.0,41.5,44.0,42.40625,41.1875,41.09375,42.1875,40.8125,43.3125,42.59375,44.3125,40.40625,41.8125,42.8125,42.3125,44.5,40.6875,43.90625,41.6875,42.90625,40.5,41.3125,44.3125,42.40625,47.09375,46.6875,45.5,41.09375,45.5,41.8125,42.90625,43.0,42.40625,42.59375,43.6875,43.40625,40.8125,43.90625,40.8125,45.0,43.1875,43.6875,44.0,47.09375,42.90625,42.8125,46.09375,45.8125,45.40625,43.59375,43.40625,44.40625,44.8125
BWA,Botswana,"[19.9, -26.83, 29.43, -17.66]",57.90625,62.5,67.625,63.3125,56.09375,59.3125,59.09375,59.59375,62.09375,66.375,64.8125,70.6875,64.125,63.40625,66.5,68.125,63.3125,64.1875,59.3125,58.0,74.875,60.90625,70.875,61.3125,68.625,66.1875,65.5,57.90625,64.5,65.3125,66.875,59.90625,59.59375,61.1875,61.5,60.40625,61.59375,66.375,63.6875,67.375,68.3125,63.40625,59.6875,64.875,62.40625,68.375,62.90625,60.09375,76.1875,61.40625,66.0,65.125,72.5,62.40625,64.3125,61.0
CAF,Central African Republic,"[14.46, 2.27, 27.37, 11.14]",63.8125,60.09375,58.6875,58.59375,58.6875,59.0,60.0,58.6875,56.59375,59.8125,57.5,58.3125,60.59375,57.3125,59.8125,56.59375,60.8125,58.09375,63.1875,62.5,61.3125,61.3125,62.90625,60.1875,62.5,61.90625,57.3125,60.40625,62.5,60.6875,62.6875,56.3125,64.0,66.625,63.0,60.6875,59.40625,60.8125,64.5,61.8125,64.3125,63.5,63.59375,62.3125,65.6875,61.8125,66.0,66.625,68.3125,63.90625,60.8125,63.1875,63.1875,61.40625,61.59375,62.1875
CAN,Canada,"[-141.0, 41.68, -52.65, 73.23]",65.0,59.0,58.09375,60.40625,61.90625,56.90625,58.3125,60.8125,55.40625,62.40625,66.3125,57.8125,58.8125,55.09375,62.5,59.1875,60.3125,61.1875,60.0,60.09375,58.5,60.1875,63.8125,64.3125,63.90625,68.5,64.5,56.3125,59.1875,61.09375,62.90625,64.8125,58.59375,59.40625,65.0,60.6875,61.90625,57.40625,59.6875,62.59375,60.59375,60.59375,59.90625,61.5,65.375,61.5,68.0,60.09375,61.59375,55.59375,65.0,62.90625,66.6875,68.0,68.125,64.375
CHE,Switzerland,"[6.02, 45.78, 10.44, 47.83]",39.0,40.3125,42.59375,38.5,46.3125,45.0,41.0,42.1875,39.5,43.90625,44.0,38.8125,42.09375,43.0,49.0,42.3125,40.40625,41.40625,44.59375,44.90625,41.1875,47.3125,41.0,48.40625,46.5,42.40625,49.3125,46.1875,44.6875,50.40625,42.6875,45.40625,47.0,46.40625,45.40625,47.09375,47.6875,47.8125,46.09375,51.90625,46.3125,47.3125,49.6875,42.8125,48.3125,48.40625,44.40625,47.6875,48.1875,48.59375,48.59375,50.1875,54.1875,51.0,54.90625,50.90625
CHL,Chile,"[-75.64, -55.61, -66.96, -17.58]",46.0,46.1875,46.5,47.09375,48.09375,47.8125,44.5,50.90625,51.5,45.09375,47.6875,55.5,44.90625,57.90625,59.1875,47.59375,46.5,50.3125,46.59375,44.5,51.90625,47.5,53.09375,47.5,46.90625,59.6875,46.3125,53.59375,52.6875,54.40625,51.09375,49.5,49.09375,57.8125,59.90625,50.6875,54.0,47.8125,47.0,52.0,57.09375,48.1875,46.8125,52.0,47.90625,50.90625,53.59375,46.40625,59.0,50.8125,51.59375,61.1875,56.1875,50.40625,59.0,53.5
