ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
AZE,Azerbaijan,"[44.79, 38.27, 50.39, 41.86]",0.455,0.448125,0.475,0.463125,0.506875,0.4640625,0.468125,0.468125,0.4590625,0.4609375,0.458125,0.4690625,0.4640625,0.461875,0.4709375,0.4859375,0.495,0.4690625,0.485,0.47,0.4709375,0.5590625,0.4809375,0.4740625,0.488125,0.473125,0.4909375,0.488125,0.49,0.513125,0.483125,0.543125,0.485,0.5109375,0.491875,0.478125,0.4959375,0.49,0.4859375,0.5059375,0.4990625,0.52,0.51,0.5059375,0.4990625,0.508125,0.4890625,0.506875,0.503125,0.51,0.513125,0.513125,0.511875,0.506875,0.5459375,0.526875
BDI,Burundi,"[29.02, -4.5, 30.75, -2.35]",0.425,0.3809375,0.393125,0.3759375,0.4340625,0.4190625,0.411875,0.4290625,0.4940625,0.3759375,0.376875,0.4009375,0.403125,0.4440625,0.421875,0.4209375,0.398125,0.383125,0.385,0.4190625,0.4090625,0.401875,0.516875,0.4190625,0.448125,0.445,0.4140625,0.435,0.408125,0.4690625,0.445,0.413125,0.405,0.48,0.44,0.4090625,0.396875,0.445,0.441875,0.4040625,0.435,0.398125,0.4340625,0.448125,0.403125,0.433125,0.4490625,0.428125,0.53,0.461875,0.4509375,0.4159375,0.43,0.411875,0.4159375,0.4490625
BEL,Belgium,"[2.51, 49.53, 6.16, 51.48]",0.341875,0.4440625,0.345,0.3890625,0.368125,0.3459375,0.4,0.388125,0.446875,0.435,0.385,0.41,0.395,0.406875,0.39,0.416875,0.3959375,0.421875,0.4509375,0.428125,0.4159375,0.398125,0.4390625,0.4440625,0.358125,0.3990625,0.4209375,0.4540625,0.453125,0.495,0.411875,0.498125,0.4609375,0.406875,0.3890625,0.435,0.4559375,0.401875,0.3890625,0.451875,0.426875,0.436875,0.5,0.3990625,0.451875,0.498125,0.481875,0.405,0.451875,0.4459375,0.455,0.4190625,0.4359375,0.496875,0.453125,0.4890625
BEN,Benin,"[0.77, 6.14, 3.8, 12.24]",0.568125,0.573125,0.5159375,0.5490625,0.5640625,0.5509375,0.566875,0.585,0.556875,0.5659375,0.555,0.525,0.565,0.563125,0.5790625,0.5509375,0.561875,0.57,0.5640625,0.5759375,0.588125,0.595,0.5940625,0.5259375,0.546875,0.586875,0.586875,0.565,0.6259375,0.583125,0.6290625,0.625,0.603125,0.583125,0.6190625,0.6159375,0.593125,0.628125,0.576875,0.5790625,0.583125,0.62,0.6140625,0.5509375,0.583125,0.56,0.595,0.576875,0.643125,0.5909375,0.618125,0.5940625,0.5840625,0.59,0.70125,0.571875
BFA,Burkina Faso,"[-5.47, 9.61, 2.18, 15.12]",0.605,0.67,0.6059375,0.623125,0.623125,0.6290625,0.6209375,0.6259375,0.608125,0.603125,0.61,0.663125,0.648125,0.66375,0.691875,0.63,0.62,0.631875,0.616875,0.685,0.6240625,0.638125,0.605,0.6290625,0.671875,0.64375,0.586875,0.64375,0.6240625,0.631875,0.6290625,0.625,0.65125,0.6140625,0.71125,0.6159375,0.6309375,0.6240625,0.641875,0.6290625,0.646875,0.638125,0.638125,0.636875,0.603125,0.655,0.638125,0.6290625,0.643125,0.6390625,0.626875,0.648125,0.67625,0.651875,0.70125,0.623125
BGD,Bangladesh,"[88.08, 20.67, 92.67, 26.45]",0.5090625,0.59,0.5659375,0.606875,0.5840625,0.566875,0.681875,0.5040625,0.516875,0.561875,0.573125,0.501875,0.545,0.5140625,0.513125,0.52,0.6090625,0.5259375,0.5640625,0.5309375,0.538125,0.543125,0.5690625,0.52,0.5440625,0.59,0.638125,0.5790625,0.5359375,0.521875,0.5590625,0.553125,0.563125,0.53,0.556875,0.5809375,0.578125,0.5340625,0.543125,0.601875,0.531875,0.608125,0.5659375,0.6,0.563125,0.541875,0.5490625,0.5459375,0.538125,0.598125,0.585,0.5540625,0.6190625,0.555,0.541875,0.59
BGR,Bulgaria,"[22.38, 41.23, 28.56, 44.23]",0.4890625,0.4609375,0.54,0.5459375,0.533125,0.4259375,0.4709375,0.483125,0.47,0.5490625,0.4959375,0.4540625,0.4759375,0.5190625,0.495,0.505,0.47,0.511875,0.505,0.483125,0.475,0.5109375,0.4690625,0.4990625,0.4859375,0.4990625,0.518125,0.576875,0.563125,0.533125,0.488125,0.4909375,0.5190625,0.531875,0.52,0.581875,0.576875,0.5840625,0.5359375,0.5159375,0.536875,0.5090625,0.545,0.4959375,0.4959375,0.511875,0.498125,0.53,0.5690625,0.541875,0.495,0.5809375,0.516875,0.545,0.546875,0.645
BHS,Bahamas,"[-78.98, 23.71, -77.0, 27.04]",0.3509375,0.343125,0.343125,0.3409375,0.3440625,0.345,0.345,0.3490625,0.361875,0.346875,0.333125,0.3509375,0.3540625,0.353125,0.348125,0.3390625,0.358125,0.3459375,0.36,0.3540625,0.348125,0.3640625,0.355,0.346875,0.363125,0.355,0.3690625,0.365,0.345,0.3590625,0.363125,0.3609375,0.3540625,0.36,0.371875,0.358125,0.3590625,0.3640625,0.3640625,0.366875,0.356875,0.368125,0.38,0.36,0.385,0.356875,0.378125,0.361875,0.366875,0.373125,0.373125,0.3809375,0.3740625,0.366875,0.371875,0.378125
BIH,Bosnia and Herzegovina,"[15.75, 42.65, 19.6, 45.23]",0.448125,0.4,0.4740625,0.463125,0.5109375,0.455,0.445,0.4640625,0.416875,0.451875,0.463125,0.445,0.47,0.47,0.5,0.4590625,0.5259375,0.448125,0.46,0.488125,0.456875,0.476875,0.478125,0.461875,0.4659375,0.4659375,0.4859375,0.4759375,0.516875,0.563125,0.491875,0.486875,0.478125,0.526875,0.473125,0.481875,0.4890625,0.4990625,0.478125,0.475,0.4740625,0.4890625,0.4909375,0.443125,0.538125,0.53,0.468125,0.503125,0.5009375,0.505,0.5009375,0.52,0.506875,0.51,0.5709375,0.533125
BLR,Belarus,"[23.2, 51.32, 32.69, 56.17]",0.4159375,0.401875,0.446875,0.4259375,0.45,0.4159375,0.401875,0.43,0.3859375,0.4440625,0.4509375,0.4340625,0.4859375,0.4490625,0.445,0.4659375,0.4390625,0.4659375,0.476875,0.5040625,0.44,0.535,0.4309375,0.463125,0.4659375,0.3959375,0.453125,0.4659375,0.436875,0.5040625,0.46,0.4640625,0.4440625,0.455,0.4740625,0.49,0.468125,0.4890625,0.515,0.493125,0.5109375,0.448125,0.4809375,0.406875,0.4490625,0.446875,0.433125,0.4890625,0.438125,0.5440625,0.485,0.508125,0.541875,0.501875,0.5009375,0.54
