,year,num_days_above_90,10_year_rolling_avg
0,1980,103.0,
1,1981,81.0,
2,1982,91.0,
3,1983,102.0,
4,1984,38.0,
5,1985,37.0,
6,1986,41.0,
7,1987,136.0,
8,1988,100.0,
9,1989,85.0,81.4
10,1990,64.0,77.5
11,1991,56.0,75.0
12,1992,59.0,71.8
13,1993,125.0,74.1
14,1994,115.0,81.8
15,1995,100.0,88.1
16,1996,110.0,95.0
17,1997,182.0,99.6
18,1998,161.0,105.7
19,1999,116.0,108.8
20,2000,142.0,116.6
21,2001,129.0,123.9
22,2002,210.0,139.0
23,2003,213.0,147.8
24,2004,218.0,158.1
25,2005,179.0,166.0
26,2006,221.0,177.1
27,2007,203.0,179.2
28,2008,177.0,180.8
29,2009,207.0,189.9
30,2010,183.0,194.0
31,2011,197.0,200.8
32,2012,245.0,204.3
33,2013,226.0,205.6
34,2014,236.0,207.4
35,2015,224.0,211.9
36,2016,181.0,207.9
37,2017,179.0,205.5
38,2018,205.0,208.3
39,2019,232.0,210.8
40,2020,219.0,214.4
41,2021,191.0,213.8
42,2022,165.0,205.8
43,2023,263.0,209.5
0,2024,96.0,195.5
1,2025,126.0,185.7
2,2026,134.0,181.0
3,2027,131.0,176.2
4,2028,105.0,166.2
5,2029,122.0,155.2
6,2030,146.0,147.9
7,2031,206.0,149.4
8,2032,148.0,147.7
9,2033,169.0,138.3
10,2034,138.0,142.5
11,2035,148.0,144.7
12,2036,154.0,146.7
13,2037,180.0,151.6
14,2038,173.0,158.4
15,2039,207.0,166.9
16,2040,187.0,171.0
17,2041,171.0,167.5
18,2042,134.0,166.1
19,2043,205.0,169.7
20,2044,209.0,176.8
21,2045,193.0,181.3
22,2046,250.0,190.9
23,2047,236.0,196.5
24,2048,196.0,198.8
25,2049,248.0,202.9
26,2050,210.0,205.2
27,2051,262.0,214.3
28,2052,256.0,226.5
29,2053,213.0,227.3
30,2054,283.0,234.7
31,2055,280.0,243.4
32,2056,264.0,244.8
33,2057,290.0,250.2
34,2058,301.0,260.7
35,2059,312.0,267.1
36,2060,243.0,270.4
37,2061,281.0,272.3
38,2062,292.0,275.9
39,2063,292.0,283.8
40,2064,300.0,285.5
41,2065,306.0,288.1
42,2066,310.0,292.7
43,2067,289.0,292.6
44,2068,325.0,295.0
45,2069,331.0,296.9
46,2070,289.0,301.5
47,2071,322.0,305.6
48,2072,323.0,308.7
49,2073,330.0,312.5
50,2074,329.0,315.4
51,2075,312.0,316.0
52,2076,330.0,318.0
53,2077,334.0,322.5
54,2078,308.0,320.8
55,2079,347.0,322.4
56,2080,307.0,324.2
