,year,num_days_above_100
0,2024,0.0
1,2025,1.0
2,2026,0.0
3,2027,0.0
4,2028,0.0
5,2029,1.0
6,2030,0.0
7,2031,0.0
8,2032,0.0
9,2033,1.0
10,2034,1.0
11,2035,1.0
12,2036,3.0
13,2037,0.0
14,2038,0.0
15,2039,0.0
16,2040,3.0
17,2041,1.0
18,2042,0.0
19,2043,0.0
20,2044,1.0
21,2045,2.0
22,2046,9.0
23,2047,2.0
24,2048,1.0
25,2049,2.0
26,2050,1.0
27,2051,5.0
28,2052,9.0
29,2053,1.0
30,2054,7.0
31,2055,14.0
32,2056,11.0
33,2057,7.0
34,2058,12.0
35,2059,16.0
36,2060,11.0
37,2061,22.0
38,2062,16.0
39,2063,19.0
40,2064,18.0
41,2065,1.0
42,2066,16.0
43,2067,36.0
44,2068,27.0
45,2069,29.0
46,2070,28.0
47,2071,36.0
48,2072,28.0
49,2073,20.0
50,2074,47.0
51,2075,35.0
52,2076,51.0
53,2077,65.0
54,2078,63.0
55,2079,68.0
56,2080,66.0
