,year,num_days_above_90
0,1980,103
1,1981,81
2,1982,91
3,1983,102
4,1984,38
5,1985,37
6,1986,41
7,1987,136
8,1988,100
9,1989,85
10,1990,64
11,1991,56
12,1992,59
13,1993,125
14,1994,115
15,1995,100
16,1996,110
17,1997,182
18,1998,161
19,1999,116
20,2000,142
21,2001,129
22,2002,210
23,2003,213
24,2004,218
25,2005,179
26,2006,221
27,2007,203
28,2008,177
29,2009,207
30,2010,183
31,2011,197
32,2012,245
33,2013,226
34,2014,236
35,2015,224
36,2016,181
37,2017,179
38,2018,205
39,2019,232
40,2020,219
41,2021,191
42,2022,165
43,2023,263
44,2024,90
