,datetime,tempmin,year
0,1980-12-31,1.3888888888888888,1980
1,1981-12-31,3.8333333333333326,1981
2,1982-12-31,2.166666666666666,1982
3,1983-12-31,2.7222222222222214,1983
4,1984-12-31,2.166666666666666,1984
5,1985-12-31,1.6666666666666667,1985
6,1986-12-31,4.000000000000002,1986
7,1987-12-31,1.7777777777777795,1987
8,1988-12-31,1.3888888888888888,1988
9,1989-12-31,-0.4999999999999992,1989
10,1990-12-31,-3.3333333333333335,1990
11,1991-12-31,1.6666666666666667,1991
12,1992-12-31,2.000000000000001,1992
13,1993-12-31,1.1666666666666674,1993
14,1994-12-31,2.3888888888888875,1994
15,1995-12-31,3.8333333333333326,1995
16,1996-12-31,2.7222222222222214,1996
17,1997-12-31,0.11111111111111269,1997
18,1998-12-31,0.055555555555556344,1998
19,1999-12-31,2.166666666666666,1999
20,2000-12-31,3.1666666666666683,2000
21,2001-12-31,2.5,2001
22,2002-12-31,-1.6666666666666667,2002
23,2003-12-31,2.5555555555555562,2003
24,2004-12-31,0.7222222222222207,2004
25,2005-12-31,1.6666666666666667,2005
26,2006-12-31,0.6666666666666683,2006
27,2007-12-31,-0.6666666666666663,2007
28,2008-12-31,1.6666666666666667,2008
29,2009-12-31,-0.3888888888888885,2009
30,2010-12-31,2.4444444444444438,2010
31,2011-12-31,1.1111111111111112,2011
32,2012-12-31,0.11111111111111269,2012
33,2013-12-31,0.4999999999999992,2013
34,2014-12-31,3.444444444444446,2014
35,2015-12-31,0.44444444444444287,2015
36,2016-12-31,2.055555555555557,2016
37,2017-12-31,2.833333333333334,2017
38,2018-12-31,1.5000000000000016,2018
39,2019-12-31,2.666666666666665,2019
40,2020-12-31,4.055555555555554,2020
41,2021-12-31,2.7777777777777777,2021
42,2022-12-31,1.7777777777777795,2022
43,2023-12-31,2.2222222222222223,2023
