,year,num_days_above_80,10_year_rolling_avg
0,1980,12.0,
1,1981,15.0,
2,1982,9.0,
3,1983,22.0,
4,1984,27.0,
5,1985,15.0,
6,1986,2.0,
7,1987,11.0,
8,1988,16.0,
9,1989,16.0,14.5
10,1990,10.0,14.3
11,1991,9.0,13.7
12,1992,11.0,13.9
13,1993,22.0,13.9
14,1994,12.0,12.4
15,1995,22.0,13.1
16,1996,18.0,14.7
17,1997,15.0,15.1
18,1998,18.0,15.3
19,1999,15.0,15.2
20,2000,15.0,15.7
21,2001,18.0,16.6
22,2002,20.0,17.5
23,2003,24.0,17.7
24,2004,27.0,19.2
25,2005,7.0,17.7
26,2006,20.0,17.9
27,2007,13.0,17.7
28,2008,29.0,18.8
29,2009,19.0,19.2
30,2010,18.0,19.5
31,2011,16.0,19.3
32,2012,7.0,18.0
33,2013,15.0,17.1
34,2014,23.0,16.7
35,2015,20.0,18.0
36,2016,19.0,17.9
37,2017,31.0,19.7
38,2018,6.0,17.4
39,2019,30.0,18.5
40,2020,35.0,20.2
41,2021,15.0,20.1
42,2022,15.0,20.9
43,2023,12.0,20.6
0,2024,26.0,20.9
1,2025,32.0,22.1
2,2026,26.0,22.8
3,2027,20.0,21.7
4,2028,30.0,24.1
5,2029,32.0,24.3
6,2030,30.0,23.8
7,2031,40.0,26.3
8,2032,45.0,29.3
9,2033,42.0,32.3
10,2034,45.0,34.2
11,2035,47.0,35.7
12,2036,55.0,38.6
13,2037,53.0,41.9
14,2038,44.0,43.3
15,2039,42.0,44.3
16,2040,38.0,45.1
17,2041,43.0,45.4
18,2042,32.0,44.1
19,2043,36.0,43.5
20,2044,46.0,43.6
21,2045,43.0,43.2
22,2046,48.0,42.5
23,2047,76.0,44.8
24,2048,83.0,48.7
25,2049,73.0,51.8
26,2050,75.0,55.5
27,2051,67.0,57.9
28,2052,59.0,60.6
29,2053,69.0,63.9
30,2054,78.0,67.1
31,2055,76.0,70.4
32,2056,78.0,73.4
33,2057,76.0,73.4
34,2058,80.0,73.1
35,2059,58.0,71.6
36,2060,65.0,70.6
37,2061,104.0,74.3
38,2062,97.0,78.1
39,2063,69.0,78.1
40,2064,66.0,76.9
41,2065,81.0,77.4
42,2066,74.0,77.0
43,2067,70.0,76.4
44,2068,79.0,76.3
45,2069,75.0,78.0
46,2070,100.0,81.5
47,2071,96.0,80.7
48,2072,86.0,79.6
49,2073,108.0,83.5
50,2074,112.0,88.1
51,2075,96.0,89.6
52,2076,105.0,92.7
53,2077,121.0,97.8
54,2078,114.0,101.3
55,2079,117.0,105.5
56,2080,100.0,105.5
