,precip,year,10_year_rolling_avg
10,930.663585214182,2024,859.3399
11,653.2300583740351,2025,836.1221
12,817.438899580574,2026,837.3044
13,1045.7188442016452,2027,869.0448
14,1289.3366981001047,2028,878.6506
15,1200.5488992497517,2029,895.6752
16,1243.4470993308662,2030,967.0615
17,531.7371987688697,2031,939.3521
18,971.5410384229808,2032,929.2096
19,438.6595100726348,2033,912.2322
20,696.0768339418189,2034,888.7735
21,1277.9172415507808,2035,951.2422
22,947.6053931758776,2036,964.2589
23,549.841431439372,2037,914.6711
24,883.5991877567549,2038,874.0974
25,1319.7452011041134,2039,886.017
26,1528.083526801098,2040,914.4807
27,513.1439559862243,2041,912.6213
28,1224.5591348239368,2042,937.9231
29,992.8121993375294,2043,993.3384
30,558.6509403438564,2044,979.5958
31,922.0960785288528,2045,944.0137
32,2237.929691083581,2046,1073.0461
33,732.1410833166925,2047,1091.2761
34,909.9020388381492,2048,1093.9064
35,1212.1520179677786,2049,1083.1471
36,800.5577911245538,2050,1010.3945
37,927.2688455683536,2051,1051.807
38,1063.9547239325232,2052,1035.7465
39,1241.9774221213825,2053,1060.6631
40,1159.876287685575,2054,1120.7856
41,561.9528312534745,2055,1084.7713
42,422.08989982357224,2056,903.1873
43,1137.0866444635312,2057,943.6819
44,1064.5748490074595,2058,959.1491
45,673.043286345363,2059,905.2383
46,895.5534608241485,2060,914.7378
47,1067.6651989506283,2061,928.7775
48,916.822758249435,2062,914.0643
49,1143.4842045203002,2063,904.2149
50,710.649850482532,2064,859.2923
51,974.3942220756568,2065,900.5364
52,1133.5689291555077,2066,971.6843
53,1053.4350231461165,2067,963.3192
54,943.7290092731292,2068,951.2346
55,720.5355276993944,2069,955.9838
56,1076.7624376932124,2070,974.1047
57,1324.2663881059625,2071,999.7648
58,1037.3625716191596,2072,1011.8188
59,593.7171273298757,2073,956.8421
60,791.689646554347,2074,964.9461
61,1269.5039048473031,2075,994.4571
62,938.6321442210616,2076,974.9634
63,917.5569783295588,2077,961.3756
64,1622.8578587122124,2078,1029.2885
65,1250.7152047382458,2079,1082.3064
66,661.1711900200332,2080,1040.7473
