,year,num_days_above_90
0,2025,1.0
1,2026,1.0
2,2027,0.0
3,2028,0.0
4,2029,2.0
5,2030,3.0
6,2031,3.0
7,2032,1.0
8,2033,1.0
9,2034,3.0
10,2035,1.0
11,2036,3.0
12,2037,5.0
13,2038,1.0
14,2039,2.0
15,2040,0.0
16,2041,1.0
17,2042,1.0
18,2043,1.0
19,2044,0.0
20,2045,0.0
21,2046,1.0
22,2047,6.0
23,2048,7.0
24,2049,4.0
25,2050,6.0
26,2051,2.0
27,2052,1.0
28,2053,4.0
29,2054,6.0
30,2055,3.0
31,2056,4.0
32,2057,5.0
33,2058,6.0
34,2059,3.0
35,2060,4.0
36,2061,4.0
37,2062,2.0
38,2063,2.0
39,2064,2.0
40,2065,7.0
41,2066,8.0
42,2067,8.0
43,2068,8.0
44,2069,6.0
45,2070,6.0
46,2071,10.0
47,2072,10.0
48,2073,3.0
49,2074,12.0
50,2075,7.0
51,2076,4.0
52,2077,11.0
53,2078,15.0
54,2079,25.0
55,2080,3.0
