,datetime,tempmax,year,10_year_rolling_avg
52,2066-12-31 00:00:00+00:00,39.00735940708052,2066,42.8288
53,2067-12-31 00:00:00+00:00,40.958290324922274,2067,42.727
54,2068-12-31 00:00:00+00:00,45.51312869462476,2068,43.1439
55,2069-12-31 00:00:00+00:00,42.69145155281199,2069,42.7927
56,2070-12-31 00:00:00+00:00,44.07466891273441,2070,42.8738
57,2071-12-31 00:00:00+00:00,44.35568034013508,2071,43.1347
58,2072-12-31 00:00:00+00:00,45.42155639079802,2072,43.3956
59,2073-12-31 00:00:00+00:00,43.8854313552261,2073,43.3954
60,2074-12-31 00:00:00+00:00,42.914986846807835,2074,43.3387
61,2075-12-31 00:00:00+00:00,45.169034798785034,2075,43.3992
62,2076-12-31 00:00:00+00:00,43.20773183901947,2076,43.8192
63,2077-12-31 00:00:00+00:00,44.828187599455816,2077,44.2062
64,2078-12-31 00:00:00+00:00,41.96025183272482,2078,43.8509
65,2079-12-31 00:00:00+00:00,45.36621241570076,2079,44.1184
66,2080-12-31 00:00:00+00:00,43.27133002265446,2080,44.038
