,year,num_days_above_90
0,2024,12.0
1,2025,19.0
2,2026,29.0
3,2027,35.0
4,2028,29.0
5,2029,31.0
6,2030,27.0
7,2031,24.0
8,2032,26.0
9,2033,35.0
10,2034,34.0
11,2035,39.0
12,2036,39.0
13,2037,30.0
14,2038,26.0
15,2039,23.0
16,2040,27.0
17,2041,46.0
18,2042,43.0
19,2043,32.0
20,2044,42.0
21,2045,48.0
22,2046,44.0
23,2047,49.0
24,2048,57.0
25,2049,41.0
26,2050,42.0
27,2051,42.0
28,2052,54.0
29,2053,52.0
30,2054,56.0
31,2055,71.0
32,2056,68.0
33,2057,71.0
34,2058,67.0
35,2059,76.0
36,2060,66.0
37,2061,56.0
38,2062,57.0
39,2063,61.0
40,2064,66.0
41,2065,75.0
42,2066,76.0
43,2067,60.0
44,2068,68.0
45,2069,80.0
46,2070,73.0
47,2071,76.0
48,2072,78.0
49,2073,83.0
50,2074,79.0
51,2075,75.0
52,2076,82.0
53,2077,83.0
54,2078,79.0
55,2079,73.0
56,2080,75.0
