,precip,year,10_year_rolling_avg
10,1686.395770895774,2024,1704.4401
11,1536.6879969044614,2025,1715.9709
12,1553.555913285495,2026,1702.926
13,1547.470443350771,2027,1694.2823
14,1711.0990512416884,2028,1695.0604
15,1668.5533915842734,2029,1636.535
16,1470.6694626911735,2030,1619.7411
17,1696.3303989968676,2031,1650.5335
18,2038.733528242802,2032,1672.83
19,2338.594439923395,2033,1724.809
20,1576.9739828527806,2034,1713.8669
21,1635.0059255508345,2035,1723.6987
22,1836.1847512077863,2036,1751.9615
23,1961.6056343781968,2037,1793.3751
24,1675.0704639510673,2038,1789.7722
25,1747.9660483274874,2039,1797.7135
26,1632.5327332653176,2040,1813.8998
27,1559.4517626778038,2041,1800.2119
28,1391.7665530695174,2042,1735.5152
29,1745.1935805732965,2043,1676.1751
30,1749.8116899309996,2044,1693.4589
31,1443.5876916423863,2045,1674.3171
32,1605.2653114270893,2046,1651.2251
33,1287.7701805541583,2047,1583.8416
34,1401.7222046273855,2048,1556.5068
35,1974.150167001444,2049,1579.1252
36,1465.3878857078391,2050,1562.4107
37,1301.7648671162374,2051,1536.642
38,1352.978287217409,2052,1532.7632
39,2100.204785780959,2053,1568.2643
40,1428.3925120247018,2054,1536.1224
41,1429.7254686788856,2055,1534.7362
42,1495.4360065041417,2056,1523.7532
43,1716.6327382526686,2057,1566.6395
44,1386.5893031902278,2058,1565.1262
45,1709.2417126393063,2059,1538.6354
46,2054.0347920515,2060,1597.5
47,1878.8239744485636,2061,1655.206
48,1950.2146505954056,2062,1714.9296
49,1802.9708819526031,2063,1685.2062
50,1839.7648032251388,2064,1726.3434
51,1820.211068076932,2065,1765.392
52,1925.8244174656288,2066,1808.4308
53,1522.1471886705924,2067,1788.9823
54,1355.56003699612,2068,1785.8794
55,1729.395115295912,2069,1787.8947
56,1324.0434535071352,2070,1714.8956
57,1478.0790936886604,2071,1674.8211
58,1569.9045798100872,2072,1636.7901
59,1948.951360421768,2073,1651.3881
60,1888.4498175428296,2074,1656.2566
61,1394.0381018025794,2075,1613.6393
62,1529.2910732969483,2076,1573.986
63,1826.2391145831295,2077,1604.3952
64,2416.1677177750653,2078,1710.4559
65,1958.4153784876355,2079,1733.358
66,796.5930433515704,2080,1680.6129
